AVERAGE_GENE_EXPRESSION	r1_C0	r1_C1	r1_C2	r1_C3	r1_C4	r1_C5	r1_C6	r1_C7	r1_C8	r1_C9	r1_C10	r1_C11
Uqcc	0.476101923438568	0.168092787566646	0.153875984638123	0.332570676475944	0.769593438953852	0.187448926740987	0.437071851101241	0.0701339521820018	0.286380304743174	0	0.0660877626330402	0.39302479023395
Cep250	0.0842295013950512	0.0933848819814698	0.153875984638123	0.372383922074445	0.0286380304743174	0.535942895773568	0.368340577962879	0.235589828251179	0.914261747901786	0	0.0660877626330402	0.0687312731383618
Ergic3	9.3401804207658	1.27037981827567	11.6452729377703	12.1782051767655	0.585262932797148	7.71216817695043	29.6795353970032	1.70938374555443	23.4594858459884	0	1.02016795482822	1.04161182442513
Cpne1	0.406910118301564	0.200185096718956	1.30566739384208	0.586290106151329	0.221036390212781	0.428579534245838	0.972880551286763	0.835492438331627	1.45786197395993	0	0.198263287899121	0.39302479023395
Rbm12	0.180559106844549	0.112061858377764	0.24923503089082	0.261527029915797	0.257742274268857	0.0937244633704934	0.461756063372311	0.105200928273003	0.416124034478497	0	0.13217552526608	0.137462546276724
Nfs1	0.197405007123559	0.0747079055851759	0.65509883463078	0.221713784317296	0.691747201112659	0.491062509826167	0.667949882787397	0.210401856546006	0.832248068956993	0	0.264351050532161	0.648587034191176
Romo1	16.6263429837782	1.39188984014925	33.1497882268015	52.9913470329718	152.681370944861	59.2108688522523	288.430932298568	4.5989144546715	148.192979321962	0.279563376806541	2.94945973852922	18.216494263444
Rbm39	45.3234534069174	8.75599079707535	16.2089159448853	128.837594465201	3.80327492140637	55.2242570588795	159.427037675754	80.9012201774919	13512922.3185055	0	5.72780881586726	68.3088930665786
Phf20	0.320072105301195	0.18676976396294	0.568183110594648	0.574191083592491	0.33558851211005	0.482261215009703	0.658268458489286	0.210401856546006	2.5069906963231	0	0.245732926881948	0.786049580467899
Scand1	4.72938042918693	2.05408312646295	3.68079886839591	5.2787977003755	1.58703456238118	67.5323243940093	11.5490546858986	1.78161576786978	138.962379944943	0.0592510975330705	0.793053151596482	5.22677052246453
4921517L17Rik	0.0168459002790102	0	0.146651041132071	0.027714223039662	0	0.0312414877901645	0	0	0	0	0	0
2900097C17Rik	13.9973360208484	0.801857837272932	12.6786105795207	12.1540676368271	61.9577508340473	1.86111398618999	15.6135979555231	1.22665913826616	3.48528462422207	0	0.396526575798241	2.96147956851409
Epb4.1l1	0.101075401674061	0	0.205167979517498	0.027714223039662	0.0286380304743174	0.241130607504851	0.427390426803131	0	0.047730050790529	0	0	0.667949882787397
0610011L14Rik	0.134767202232082	0.130738834774058	0.274881028330507	0.447718990953019	0.384796719476926	0.366096558665509	0.206193819415085	0.305723780433181	1.45786197395993	0	0.311820689514988	0.0687312731383618
Dlgap4	1.80329411513572	0.325662287852736	1.50361042985353	3.40696258114443	0.536054725430272	1.77619081763596	3.80050842876014	0.140267904364004	32.8457849955326	0.177753292599212	0.443996214781069	1.82439614994885
4930405A21Rik	0	0.018676976396294	0	0.027714223039662	0.0286380304743174	0	0	0	0.047730050790529	0	0	0
Myl9	4.45687025557468	0.0560309291888819	2.80664127573348	0.968139780668345	148268.315623614	0.0312414877901645	2.59674984578722	0.200522852160178	0.0954601015810581	0.0592510975330705	0	3.28920508585372e+35
Tgif2	0.0794837051704872	0	0.0256459974396872	0.289241252955459	0.0286380304743174	0.0312414877901645	0	0	0	0	0	0
5430405H02Rik	0.2647886082396	0.018676976396294	0.197943036011445	0.29704885319587	0.0286380304743174	0.156207438950822	0.171828182845905	0.330911752138355	0.593597815004348	0	0	0.137462546276724
1110008F13Rik	2.40310921013302	0.325662287852736	2.89293977114722	7.37989126630048	1.80171652295443	311.357551920097	8.10378638182078	0.681581513048364	3.43139076566763	0	0.755816904296057	4.68237520365999
Sla2	0.0168459002790102	0.018676976396294	0	0	0	0.0312414877901645	0	0	0	0.0592510975330705	0.377908452148028	0
Ndrg3	0.866166141461121	0.0933848819814698	0.739261770455895	1.87858876516226	0.0859140914229523	0.513502702799867	1.27890602546522	0.905626390513629	0.7502343900122	0	0.576171740047149	0.667949882787397
Dsn1	0.0794837051704872	0.018676976396294	0	0	0.0286380304743174	0.0624829755803289	0	0.0350669760910009	0.047730050790529	0	0	0
9830001H06Rik	0.332172209355641	0.376431573401341	0.293302082264142	0.8833389593472	0	0.744347808695449	0.446753275399352	0.350669760910009	6.80512673415521	0	0	0.667949882787397
Samhd1	0.401364014492644	0.507170408175399	0.230813976957185	0.612687694132858	0.0286380304743174	430.666547025245	0.333974941393698	1.87074323353032	3.44483718830389	0.0592510975330705	3.21381078906138	0.274925092553447
Rbl1	0	0.0373539527925879	0.0256459974396872	0.055428446079324	0.0572760609486348	0.30361358308518	0	0	0.511584136059555	0	0.198263287899121	0.0687312731383618
Rpn2	10.9045621303701	1.56813631683163	82.4403524578298	529.889647320545	1.45362568753358	40.5075721553292	246.420808261938	5.39982920075598	29.9821285450087	0.65812196286854	7.11214326630416	5.36096781379708
Manbal	0.858811833631239	0.237539049511544	0.780576033618199	2.13099155977951	0.392864573058685	1.01820411078327	1.98817553596873	0.280535808728007	1.17374920737243	0	0.443996214781069	1.48073978425704
Src	0.134767202232082	0.018676976396294	0.24923503089082	0.213906184076884	0.0286380304743174	0.178647631924523	0.0687312731383618	0	0	0.0592510975330705	0	0.324293517095588
Blcap	0.51273131620019	0.0373539527925879	0.472824064341952	0.688022763011432	0.200466213320222	0.482261215009703	1.18712316752787	0.210401856546006	0.545867764213819	0	0.0660877626330402	0.274925092553447
Nnat	0.062637804891477	0	0	0	0.106484268315511	0.0312414877901645	0	0	0	0	0	0
Ctnnbl1	0.168459002790102	0.381693217041618	0.377465018089256	0.510955037272755	0.0859140914229523	0.553545485406496	0.946563711543608	0.140267904364004	0.927708170538051	0	0.623641379029977	0.274925092553447
Tti1	0.0168459002790102	0.0373539527925879	0.179521982077811	0.13857111519831	0.171828182845905	0.0937244633704934	0.0343656365691809	0.105200928273003	0.047730050790529	0	0.0660877626330402	0
Rprd1b	0.349018109634651	0.0747079055851759	0.230813976957185	0.815811490709037	0.868009853687604	0.294812288268716	0.368340577962879	0.200522852160178	0.948545376056051	0	0.0660877626330402	1.24454038889604
Tgm2	32051.6112449731	2.27490762090212	0.351819020649569	927.99383624809	1.92569702132686	1.38616985920394	9.58992342282424	167.317147182282	57.5563953337804	0.118502195066141	0	4.22388439523185
D630003M21Rik	0.99064144365972	0	0.472824064341952	0.055428446079324	0	0	1.13339468236247	0	0	0	0	0
Lbp	1.85869116857235	0.018676976396294	0.102583989758749	1.31115132750097	0	0	0.742002519600608	0	0.047730050790529	0	0	0
9430008C03Rik	0.202150803348123	0.018676976396294	0.153875984638123	0.13857111519831	0.0286380304743174	0.156207438950822	0.299609304824518	0.175334880455005	0.143190152371587	0	0.13217552526608	0.0687312731383618
Snhg11	0.0168459002790102	0	0	0.027714223039662	0.0286380304743174	0	0	0	0	0	0	0
Ralgapb	0.29848040879762	0.112061858377764	0.205167979517498	0.518762637513167	0.470710810899878	0.30361358308518	0.171828182845905	0.305723780433181	1.2080328355267	0	0.13217552526608	0.549850185106894
Actr5	0.0842295013950512	0.0373539527925879	0.102583989758749	0.166285338237972	0	0.0624829755803289	0.137462546276724	0.0350669760910009	0.0954601015810581	0	0.198263287899121	0.137462546276724
Ppp1r16b	0	2.19734999645385	0.0256459974396872	1.46997058264255	0.0286380304743174	0.232329312688387	0	1.47379391730325	1714.49905669054	0	0.510083977414109	2.21265727446413
Dhx35	0.0505377008370307	0	0.0256459974396872	0.0831426691189861	0.229104243794539	0.0937244633704934	0.0687312731383618	0.0350669760910009	0.272933882106909	0	0	0.0687312731383618
Mafb	1.70797240612283	0.018676976396294	9.62690434567867	3.99178135364608	0.346730312527445	266269242236.571	3.01282622082015	0.0701339521820018	0.0954601015810581	0.0592510975330705	0	0.274925092553447
Top1	5.14709087699411	3.16081727385739	9.61773140627896	1100.97249179977	0.818801646320728	13.6186298987722	4.20690337949496	2.24946353157196	73.4645978870267	0	0.576171740047149	2.19805809158658
Plcg1	0	0.018676976396294	0.0256459974396872	0	0.0286380304743174	0.0312414877901645	0.0687312731383618	0.0701339521820018	0.0954601015810581	0.0592510975330705	0	0
Zhx3	0.373218317743544	0.0747079055851759	0.611031783257459	1.11391429821412	0	0	0.599218609649035	0.0701339521820018	0.525030558695819	0	0.0660877626330402	0.0687312731383618
Lpin3	0.146867306286528	0	0.0512919948793745	0.055428446079324	0.0286380304743174	0	0.206193819415085	0.0701339521820018	0.402677611842232	0	0	0
Chd6	1.10819548807002	0.740565264443773	1.47796443241384	22.764108294636	4.49475068574515	0.504701407983403	0.898827914473553	0.671702508662537	6.82700450271105	0.0592510975330705	0.0660877626330402	3.40060752834601
Srsf6	3.34541603007377	0.424308813474484	3.08874724757004	1.87270199787293	2.66972637664203	15.7975182588682	200.757673157625	9.35404873902471	4.89437598435362	0.177753292599212	0.576171740047149	1.17580911575768
Ift52	0.276888712294046	0.0933848819814698	0.102583989758749	0.380191522314856	0.249674420687098	0.629667359144061	0.343656365691809	0.0701339521820018	0.673343955793467	0	0.13217552526608	0
