cluster	gene	p_val	p_val_adj	avg_logFC
6	Ykt6	0.00000919527857996233	0.119198396232052	0.965995516809781
6	Arsk	0.00000931961017247699	0.120810106665819	0.865225790521387
6	Sgta	0.00000941816141079836	0.122087626368179	0.74534955115599
6	Srr	0.00000959046923428519	0.124321252684039	1.2040827432498
6	Arfip1	0.00000977572026139831	0.126722661748506	0.748952386616859
6	Rhoc	0.00000979386049480649	0.126957813594176	0.600912187451996
6	Abhd5	0.0000100524506090455	0.130309917245057	1.03599108421722
6	Smndc1	0.0000104292504831585	0.135194374013183	0.831481152149895
6	BC029214	0.0000104727861852423	0.135758727319295	1.01048975321823
6	Jtb	0.0000105445066046428	0.136688439115985	0.768262439419819
6	Ntan1	0.000010544881784445	0.136693302571761	0.566724274249867
6	Nacc2	0.0000109122919097239	0.141456040025751	1.10862971825589
6	Sec61a1	0.0000109564993232803	0.142029100727683	0.883324898158536
6	Tmem5	0.0000112015431916745	0.145205604393676	0.799404891617091
6	Slc1a5	0.0000112618382041442	0.145987208640321	0.514096208319676
6	Kremen1	0.0000112994309547058	0.146474523465851	1.3253888265961
6	Atp6v0e2	0.000011347567582815	0.147098518576031	0.934098118069463
6	Wbp5	0.0000114378781468427	0.148269214417522	0.569023996699595
6	Hebp1	0.0000114487179878017	0.148409731275874	0.822891763009204
6	Rab18	0.0000114518768144057	0.148450679145141	0.521774913056992
6	Sh3bgr	0.0000118348664645279	0.153415373979675	0.50811883229374
6	Krtcap2	0.0000119144480685658	0.154446990312818	0.420037080438244
6	Cfh	0.0000120241678424678	0.155869287741911	0.286470228391149
6	Fam179b	0.0000120401407725589	0.156076344834681	1.07528391006186
6	Rogdi	0.0000121835404794652	0.157935235235308	1.05728599954767
6	4933433P14Rik	0.0000122487950564263	0.158781130316454	0.933348279188304
6	St3gal2	0.000012277096425804	0.159148000967697	0.856634175825805
6	2810055G20Rik	0.0000123333646635179	0.159877406133183	0.941435204170779
6	Sar1a	0.0000124317861984314	0.161153244490267	0.543247080676559
6	Lsm5	0.0000129350006597729	0.167676413552636	0.528071592457463
6	Cops7a	0.0000130506147385385	0.169175118855674	0.715078745336693
6	Foxc2	0.0000131759141255188	0.1707993748091	0.934098118069463
6	Calhm2	0.0000135813215367405	0.176054671080767	0.885043442871845
6	Sel1l	0.0000138103936998357	0.17902413353097	0.636544151853686
6	Trim44	0.0000139559781666208	0.180911344973905	0.676236248773488
6	Arhgef25	0.0000141687543774644	0.183669562995071	0.79303796807163
6	Gas8	0.000014318798511593	0.18561458510578	1.05477620664611
6	Tcf7l1	0.0000143368195910042	0.185848192358187	1.0002251918413
6	Bccip	0.0000145066415977313	0.188049595031391	0.637279859059436
6	Amotl1	0.0000145107077417286	0.188102304456028	0.719998590502293
6	Eps15	0.000014650784146299	0.189918114888473	0.734571325980379
6	Fbxo9	0.0000147199242133477	0.190814377577626	0.69120253664016
6	Ngf	0.0000148198528766967	0.192109752840619	0.891678768718735
6	Selm	0.000015042625673668	0.194997556607759	0.39422212389324
6	Parp3	0.0000151916627320913	0.196929523996099	0.847411011737377
6	Stx4a	0.0000152429826257703	0.19759478377786	0.582041268203672
6	Irak1	0.000015372162654685	0.199269344492682	0.81491834718406
6	Ormdl2	0.0000156074543629187	0.202319430906515	0.743900936752381
6	Igfbp7	0.000015618437350277	0.20246180337164	0.389006312917847
6	Arcn1	0.0000158807811695304	0.205862566300622	0.675665828920843
6	Arl3	0.0000159978912080518	0.207380663729976	0.807078812383748
6	Camkk2	0.0000163657529598682	0.212149255618772	0.860396238212374
6	Osbpl1a	0.0000164296250510966	0.212977229537365	0.864238042655739
6	0610007P14Rik	0.0000167889669312979	0.217635378330414	0.707294394339637
6	Abhd11	0.0000169277239585498	0.219434085674681	0.909683865226469
6	Ubtd1	0.0000169898492579861	0.220239415931274	0.95767181462464
6	Fam158a	0.000017146277782272	0.222267198891591	1.05816707166519
6	Trps1	0.0000173513848552654	0.224926001878806	0.95971772357577
6	2410004B18Rik	0.0000174296493817691	0.225940544935872	0.966593142323937
6	Gatc	0.0000177729130041503	0.230390271272801	0.970039870161764
6	B4galt1	0.0000181217104206691	0.234911732183134	0.562417856752305
6	Fkbp10	0.0000181369763019791	0.235109623802556	1.03909763899017
6	Mia3	0.000018178584856606	0.235648995496184	0.578683440654254
6	Gm2a	0.0000183288042639723	0.237596289673873	0.507625951041675
6	Bscl2	0.0000183321381084493	0.237639506299829	0.935606787494708
6	Akt2	0.000018426830743186	0.238867006923921	0.713303181725281
6	Pon3	0.0000187270483462895	0.24275872771295	0.950790440847008
6	Zbtb41	0.0000188876705927954	0.244840873894407	1.02478804648192
6	Rpl4	0.0000192609649386823	0.249679888500138	0.293058122668802
6	Arsb	0.0000197041557332803	0.255424970770513	1.1661297520339
6	Ctdspl	0.0000198268929945598	0.257016013888479	0.984791005297218
6	Lsm2	0.0000198357086589705	0.257130291346234	0.739539000616717
6	Extl2	0.0000198733933737243	0.257618798303588	1.05477620664611
6	Mtap1b	0.000019895975642598	0.257911532254998	0.59105864004118
6	Rev3l	0.0000199268921590373	0.2583123030576	0.950790440847008
6	Rps6ka4	0.0000201201851436519	0.26081796001716	0.794700673837949
6	Hax1	0.0000204160816954604	0.264653667018254	0.727554742932226
6	Tnfrsf12a	0.0000206434409261713	0.267600924725958	1.20694258940061
6	Isy1	0.0000207200240544655	0.268593671818036	0.924446588144102
6	Ddx21	0.0000208909682483139	0.270809621402893	0.632494326623571
6	Ublcp1	0.0000209806877843659	0.271972655748735	0.925897366382029
6	3110040N11Rik	0.0000210093623856103	0.272344364604667	1.01298131304947
6	Ube2d3	0.0000210765169945348	0.273214889800155	0.419104903166414
6	Itm2a	0.0000214918200925031	0.278598463859117	1.05216116050291
6	Tmem167	0.0000218634129840881	0.283415422512734	0.645544367963161
6	1810006K21Rik	0.0000218996402097653	0.283885036039188	0.514027301772532
6	Hdgfrp3	0.0000219785886088816	0.284908444136932	0.700613950955226
6	Gna13	0.0000220336209584664	0.2856218284846	0.836216789676483
6	Erf	0.0000222321087735328	0.288194826031305	0.895101518992928
6	Tmem219	0.0000224795767399554	0.291402753280042	0.721916553619603
6	Casc4	0.0000225411890882514	0.292201434151003	1.10922047493643
6	Tgif1	0.0000225505562851302	0.292322861124142	1.1077560430414
6	Slc35b1	0.0000226227122282293	0.293258218614536	0.686155410211035
6	Sec31a	0.0000228487203793844	0.29618796227796	0.599286869338082
6	Vwa1	0.0000231253341482612	0.299773706563911	0.443404282712998
6	Ccdc23	0.0000232966404957212	0.301994350746034	0.81529929198907
6	Psmg2	0.0000236904880326571	0.307099796367334	0.875339695371159
6	Rps4x	0.0000245145439209753	0.317782032847603	0.271515209182912
6	Srsf6	0.0000246435057844571	0.319453765483918	0.716131193669562
6	Dhrs1	0.0000248244225378449	0.321798989358084	0.804369738070093
6	Taf9	0.0000249302817514908	0.323171242344575	0.593658026779529
6	Cpsf3	0.0000252758740545321	0.3276511553689	0.997876184335162
6	Thbs2	0.0000257639436239311	0.333978001197018	0.984791005297218
6	Cbx6	0.0000263781858872668	0.341940423656639	0.602744198613663
6	Pex13	0.0000267723643113837	0.347050158568467	0.984985603006325
6	Fmnl2	0.0000270019220093023	0.350025915006586	0.913626062131914
6	2810453I06Rik	0.0000270023629630466	0.350031631089973	0.513084028753909
6	Cdc16	0.0000279017652694314	0.361690583187639	0.847411011737377
6	Tmem159	0.0000279678671544525	0.362547461923168	0.664054963899492
6	Igsf3	0.0000285261817269447	0.369784893726384	0.732804976277143
6	Clptm1l	0.0000286541819970829	0.371444161228186	0.650925157320831
6	Tpst1	0.0000286583658671211	0.37149839673549	0.598931032689305
6	Ap3s1	0.0000288492618819273	0.373972981775424	0.76270908918782
6	Armcx3	0.0000288874631088612	0.374468184280168	0.686494949321441
6	Gm14322	0.0000290398662371584	0.376443786032284	1.03909763899017
6	Man2a2	0.0000293251800976381	0.380142309605683	0.864433766256199
6	Myo9a	0.0000295281131120826	0.382772930271926	0.721916553619603
6	Ak3	0.0000296698973533791	0.384610879391853	0.669251847922199
6	C80913	0.000030186369368609	0.391305906125278	0.814704901302159
6	Upf3a	0.0000306608487260927	0.397456582036339	0.752684763983632
6	Psip1	0.000030889053219714	0.400414796887153	0.550573202456367
6	Eif3b	0.0000309485732935444	0.401186355604216	0.569298002909885
6	Sap30l	0.0000313163104877189	0.4059533328523	0.939396520896735
6	0610009D07Rik	0.0000313889762241808	0.406895298794056	0.532244293283566
6	9930021J03Rik	0.0000317818201654341	0.411987734804522	1.0667291504678
6	Smap1	0.000032251978550461	0.418082397949626	0.711595538886906
6	Fam125b	0.0000323346952929538	0.41915465508256	1.07315116262585
6	1810046J19Rik	0.0000325581616833137	0.422051449900795	0.555247718539664
6	Foxs1	0.0000326119114910633	0.422748208658654	1.10815133365808
6	Yipf1	0.0000327789365973647	0.424913355111639	0.814375523608643
6	Metrnl	0.0000331228172856097	0.429371080473358	0.502760470787221
6	Chic2	0.0000340992639914439	0.442028759121087	0.719786617668468
6	Sarnp	0.0000341039225939273	0.44208914858508	0.497396908975567
6	Dsel	0.0000341617341470086	0.442838559747672	0.800324948056014
6	Eml1	0.0000347567934616921	0.450552313643915	0.831440228089622
6	Kras	0.0000357265673253156	0.463123492238066	0.745409703942797
6	Pank2	0.0000362790903614836	0.470285848355912	0.826731161149372
6	Tmed1	0.0000365031813405628	0.473190739717716	0.735025497192457
6	Adsl	0.0000366160072525076	0.474653302014256	0.961888729177814
6	2810006K23Rik	0.0000378074328226459	0.490097751679959	1.00850725455368
6	Fam195b	0.0000380788682443653	0.493616369051708	0.694608604519584
6	Pcdh9	0.0000385912454086996	0.500258314232973	0.829216026645561
6	Atp9a	0.0000396091532076345	0.513453453030566	0.756710049685637
6	Csgalnact2	0.0000398929300362557	0.517132052059983	0.867740118993945
6	Rpia	0.0000405683629621504	0.525887689078356	0.874144966424839
6	Rnf103	0.0000406986066998738	0.527576038650464	0.959123374969846
6	B4galt5	0.000040850444123837	0.529544307177299	0.999486918255208
6	Vamp2	0.0000414741319781036	0.537629172832156	0.562417856752305
6	Polr1c	0.0000415393641311027	0.538474777231485	0.819701462062623
6	Adamts10	0.0000416469329776475	0.539869192189245	0.572096957744509
6	Dchs1	0.0000427606542838756	0.55430636148188	1.10890871270811
6	Mzt1	0.0000435413302501248	0.564426264032368	0.645629960156457
6	Ssr1	0.0000436139911579964	0.565368167381108	0.552199492943839
6	Smtnl2	0.0000438828219488193	0.568853020922545	0.943809093020629
6	Smo	0.0000445657463863029	0.577705770405645	1.03819153002405
6	Dock7	0.0000447711346337769	0.580368218257649	1.09510080712152
6	Ttc3	0.0000448529987145186	0.581429422336305	0.679435384595543
6	St6galnac6	0.0000448723387420424	0.581680127113096	0.893765880605964
6	Gata4	0.0000451568187570074	0.585367841547087	0.711828808557247
6	Diablo	0.0000456219763860502	0.591397679892368	0.66830571991281
6	Tmem150a	0.0000461046332093648	0.597654360292995	0.941435204170779
6	Emilin2	0.0000463051062736049	0.60025309262474	1.1297534604288
6	Cerk	0.000046947151772687	0.608575928429342	0.921816486530587
6	Xpnpep1	0.0000471535042696988	0.611250875848106	1.13949488153103
6	Cnih	0.0000472144991671333	0.612041552703549	0.555761835789097
6	Fiz1	0.0000473130136200896	0.613318595557221	1.1284658422671
6	Nfkb1	0.0000480784638160222	0.623241126447096	0.716620279596903
6	Nagk	0.0000486112635419997	0.630147809294942	0.773865125255963
6	Nfkbiz	0.0000492059494813516	0.63785672312676	0.742565732001466
6	Ift46	0.0000494131343624142	0.640542460739976	0.911530421835183
6	Dnajc19	0.0000501172397326521	0.649669778654369	0.581724824111728
6	Trim11	0.0000505745403667146	0.655597766773722	0.927433967718505
6	Mphosph6	0.0000506878219279537	0.657066235652063	0.748737015501595
6	Ank2	0.0000507406273057422	0.657750751764337	0.924446588144102
6	Hspg2	0.0000518924362652531	0.672681651306476	0.45770465731366
6	Spry2	0.000052154153204	0.676074287983452	1.02704367883917
6	Pop4	0.000052741583821733	0.683689151081124	0.976719915675935
6	Maz	0.0000528551917106005	0.685161850144514	0.918731528749788
6	Pddc1	0.0000531502983433655	0.688987317425047	0.95057938894105
6	2210015D19Rik	0.0000534542500491152	0.69292744338668	1.02878411608577
6	Uba5	0.0000535744698994919	0.694485853307114	0.871455028071936
6	Itpripl2	0.0000536640638546872	0.69564725974831	0.682258364763105
6	Celf2	0.0000538613246974074	0.698204352052492	0.560383393472444
6	Dnajc1	0.0000549940036258728	0.712887269002189	0.606639133700818
6	Ctbp1	0.0000555978771627585	0.720715281660839	0.602395956814789
6	Gabra3	0.0000559578948961916	0.725382191539332	1.01454213120301
6	Vps41	0.0000572047740503812	0.741545486015092	0.825318767058397
6	Tcta	0.0000572505430155458	0.74213878911052	0.719412120518269
6	Kdelr2	0.0000572714844814635	0.742410253333212	0.740736143383743
6	Vma21	0.0000573194526209103	0.743032064324861	0.719312774838047
6	Spry1	0.0000579389935558931	0.751063173465042	0.529882960757078
6	Ccdc109b	0.0000579846514757841	0.75165503708059	0.916024835499657
6	Plekhj1	0.0000583539943211116	0.75644282838457	0.522279734231181
6	G6pc3	0.0000585787392810559	0.759356197300327	0.885552264073472
6	Myo5a	0.0000592004913477428	0.76741596934079	0.809532650177327
6	Efr3a	0.0000595566343891357	0.772032651586366	0.774199826884532
6	Npr2	0.000059651819177487	0.773266531997764	0.86147206937747
6	Ppl	0.0000600803723065371	0.77882186620964	0.911530421835183
6	Ptpn9	0.0000601401799972862	0.779597153304821	0.764747164402246
6	Cisd2	0.0000612999759922467	0.794631588787494	0.799836468056635
6	Ctsk	0.0000617407305914775	0.800345090657324	0.887507665468543
6	Morn2	0.0000627703657385409	0.813692251068706	1.09269884448149
6	Ppa2	0.0000641869048715143	0.83205484784944	0.711645073649785
6	1500003O03Rik	0.0000644727934115287	0.835760820993647	0.716710796965322
6	Ufm1	0.0000649406434266461	0.841825560739614	0.709919657781528
6	Luc7l	0.000065032433488057	0.843015435305683	0.728746088241755
6	Nin	0.0000667185552803485	0.864872632099158	0.726494529184954
6	Atxn10	0.0000668291350839119	0.86630607809275	0.691394042507346
6	Ccdc104	0.0000676143909698924	0.876485350142716	0.785128000659607
6	Eef1b2	0.0000682837483416798	0.885162229753196	0.368508995222034
6	Brwd1	0.0000688253206360298	0.892182631404855	0.831481152149895
6	Fkbp9	0.0000691492943567828	0.896382302746976	0.447687195595173
6	Rab6a	0.0000697346604192407	0.903970403014617	0.501895594227027
6	Hspa13	0.0000698193153745566	0.905067785200377	1.05478546143263
6	Srp54b	0.0000708475332451229	0.918396573456528	1.06804413509759
6	5730469M10Rik	0.000071763781417956	0.930273898520964	0.991655018457524
6	Efemp2	0.0000718880802158608	0.931885183838203	0.77349944277493
6	Acbd3	0.0000723593836101226	0.937994689738019	0.669251847922198
6	Timm17b	0.0000726689246314439	0.942007269997408	0.8003603061209
6	2410017P09Rik	0.0000732726441277303	0.949833285827767	0.961888729177814
6	Cstf3	0.0000734202712211588	0.951746975839882	0.734662945619775
6	Tmem120a	0.0000746285908321568	0.967410422957248	1.242046847973
6	Cep170	0.0000749373528371063	0.971412904827409	0.917435107734477
6	Colec12	0.0000752306094379881	0.97521439014464	0.846493619536651
6	Galnt2	0.0000755040726557416	0.978759293836379	0.735025497192457
6	Lnp	0.0000755043886380557	0.978763389915116	0.806645569588605
6	Lmo4	0.0000764961338592463	0.99161938321741	0.434750043897003
6	Mrpl10	0.0000770891806060207	0.999307048195846	0.789663603355187
6	Slc35f5	0.0000800861174414902	1	0.856634175825805
6	Commd6	0.0000805660323630425	1	0.613519622646059
6	Gatad1	0.0000816101526817426	1	0.580715211178514
6	Sfr1	0.0000822380111973289	1	0.382207536782558
6	Rmnd5b	0.0000837657255450123	1	0.906579230752987
6	Tmem19	0.000085470986334034	1	0.886569390107989
6	Nedd4	0.0000858563454535226	1	0.33361212958863
6	Slc35b2	0.0000875878200255964	1	0.785124205804831
6	U2af1l4	0.000088463364698228	1	0.688051312092004
6	Tprkb	0.000089135528931932	1	1.05816707166519
6	Ubl3	0.0000906491732639443	1	0.530589897069586
6	Insig1	0.0000917625097463809	1	0.788911665418827
6	Timm23	0.0000921619555623283	1	0.485271372462406
6	Pcmt1	0.0000922182439172263	1	0.627231430364927
6	2810002N01Rik	0.0000922728693790813	1	0.682508873047088
6	B3gat3	0.0000925334859754815	1	0.995576293722292
6	Xbp1	0.0000925336884970269	1	0.58166675856447
6	Cast	0.0000937706317259661	1	0.79599765512261
6	Prelid1	0.0000953980185965478	1	0.588862519515176
6	Tmod2	0.0000954782347867478	1	0.839825855020319
6	Gsk3a	0.0000961167024302904	1	0.825507073072442
6	Manbal	0.0000962975605845309	1	0.712777670320167
6	Ghr	0.0000964373296850363	1	0.515905168991618
6	Mtap4	0.0000969844297188437	1	0.456630723552886
6	Pdia3	0.0000978072403359289	1	0.342802601956638
6	Ufsp2	0.0000984693790629225	1	0.817150350623576
6	Lman1	0.0000993658390307486	1	0.688409503219688
6	Psmd4	0.00010107234965899	1	0.545545773896507
6	Pdcd5	0.000101380444039368	1	0.492812212466138
6	Sparcl1	0.000101430682194659	1	0.333915928277579
6	Scpep1	0.000101698854540903	1	0.677036538881649
6	2210016F16Rik	0.000101980261940017	1	0.694927810179722
6	Flna	0.000102042581275246	1	0.416257355948969
6	Cstb	0.000102080188337843	1	0.425851890597789
6	Zbed6	0.000102386850829391	1	0.730037999660075
6	Ogfod2	0.000102475035162258	1	1.09341821802656
6	Gulp1	0.000103564030451953	1	0.701851922098731
6	Hdac2	0.000105997590866847	1	0.618400249847283
6	Aga	0.000106859656968784	1	0.788374327482387
6	Tmem29	0.000108454462245733	1	1.02878411608577
